岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
软硬饰开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:39,极氪,100-499人,浙江,互联网|游戏|软件
产品经理实习生（信息交互方向）(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:37,极氪,100-499人,浙江,互联网|游戏|软件
标定匹配开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:37,极氪,100-499人,浙江,互联网|游戏|软件
产品设计实习生（用户研究）(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:36,极氪,100-499人,浙江,互联网|游戏|软件
预算管理员实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:34,极氪,100-499人,浙江,互联网|游戏|软件
座椅设计开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:33,极氪,100-499人,浙江,互联网|游戏|软件
项目管理实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:32,极氪,100-499人,浙江,互联网|游戏|软件
品牌营销实习生,100-120元/天,3个月,1. 负责TO B/G 线上线下市场活动的策划及落地执行，协助营销服务基础交付工作；,大专,1,2024-05-08 18:30,信息无障碍研究会,11~50人,广东,政府/非盈利机构/其他
短视频运营实习生,150-200元/天,3个月,1、负责商业知识类个人ip账号的日常内容运营工作，,本科,1,2024-05-14 13:31,三秀咨询,11~50人,上海,广告|传媒|文化|体育
招聘实习生,100-120元/天,3个月,1. 根据协助目标客户职位信息分析，研究客户需求，主要负责互联网行业职能岗位交付；,本科,10,2024-05-15 17:01,树栋顶,51~100人,四川,快速消费品
财务会计（时尚-媒体-传媒）,面议,3个月,"本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。",本科,5,2024-05-16 09:14,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
文字编辑实习（时尚-媒体-传媒）,面议,3个月,"本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。",本科,5,2024-05-14 15:19,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
行政管理实习生,面议,3个月,"本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。",本科,5,2024-05-14 15:20,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
内容采编,1-2K/月,长期,1. 进行新媒体行业跟进；,本科,2,2024-05-10 20:26,财联社,301~1000人,北京,广告|传媒|文化|体育
儿童故事编辑,300-400元/天,3个月,工作内容：,硕士,3,2024-05-14 10:33,发现时空,11~50人,北京,互联网|游戏|软件
公众号运营（达人领域）,面议,2个月,工作职责（备注：1、此实习岗位无薪资，再次强调，只提供实习证明；2、一定要会用AI工具创作内容，不会使用者，请谨慎投递！）,不限,2,2024-05-14 09:57,蓝船科技,11~50人,上海,互联网|游戏|软件
市场管培生,80-120元/天,3个月,1. 协助市场资料的归类与整理，信息系统的维护。,本科,1,2024-05-14 16:58,Financeren,11~50人,上海,咨询/法律/人力资源
社群拓展,面议,2个月,工作职责（备注：此实习岗位无薪资，再次强调，只提供实习证明，望谨慎投递）：,不限,1,2024-05-17 09:45,蓝船科技,11~50人,上海,互联网|游戏|软件
校园推广（CA）,面议,长期,1、线上工作，不限时间地点,不限,10,2024-05-16 12:07,纪堂教育,11~50人,江苏,教育培训
招聘实习生,100-120元/天,3个月,1. 根据协助目标客户职位信息分析，研究客户需求，主要负责互联网行业职能岗位交付；,本科,10,2024-05-15 17:01,树栋顶,51~100人,四川,快速消费品
新闻数据分析助理实习生,面议,3个月,"本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。",本科,5,2024-05-16 09:14,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
抖音（图文）内容运营,面议,2个月,工作职责（备注：此实习岗位无薪资，再次强调，只提供实习证明，望谨慎投递）：,不限,3,2024-05-17 09:45,蓝船科技,11~50人,上海,互联网|游戏|软件
蓝鲸新闻-金融组实习记者,1-2K/月,3个月,跟进产经、TMT、金融、保险、券商领域报道,本科,3,2024-05-17 09:59,财联社,301~1000人,北京,广告|传媒|文化|体育
公关实习,150-200元/天,3个月,负责公司相关文案的翻译和撰写，包括但不限于新闻稿，主持稿，高层发言稿和日常social文案，及其微信公众平台更新和日常维护运营。,本科,2,2024-05-15 15:15,凯杰公关,11~50人,上海,广告|传媒|文化|体育
短视频运营实习生,150-200元/天,3个月,1、负责商业知识类个人ip账号的日常内容运营工作，,本科,1,2024-05-14 13:31,三秀咨询,11~50人,上海,广告|传媒|文化|体育
猎头实习生(25届),150-170元/天,3个月,我们需要的你：,本科,3,2024-05-16 21:56,上海复讯,101~300人,上海,多元化集团
短视频编导实习生,1-2K/月,3个月,1. 根据账号IP调性，对真人出镜、视频素材等内容进行选题策划与排期规划。,本科,3,2024-05-17 09:59,财联社,301~1000人,北京,广告|传媒|文化|体育
新媒体运营实习生,1-2K/月,3个月,1.拓展、维护及管理用户社群。,本科,4,2024-05-17 09:59,财联社,301~1000人,北京,广告|传媒|文化|体育
漫画插画手绘设计师,面议,4个月,负责漫画插画以及卡通形象的设计等。,大专,50,2024-05-13 22:33,像素先森,11~50人,浙江,政府/非盈利机构/其他
新媒体运营实习生（可远程）,50-80元/天,3个月,1. 协助团队完成微公号，小红书，微博的日常维护及内容策划。,本科,1,2024-05-16 14:31,小钻教育,11~50人,浙江,教育培训
新媒体运营（时尚-媒体-传媒）,面议,3个月,1.协助新媒体平台运营工作，维护微信，微博，今日头条等；,本科,5,2024-05-16 09:14,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
客户执行实习生 AE Intern,150-200元/天,3个月,1.协助对接global客户（GSK 礼来 纽迪希亚等）的需求,本科,4,2024-05-14 19:06,HackHealth,11~50人,上海,广告|传媒|文化|体育
社会学人类学实习生,面议,3个月,"本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。",本科,5,2024-05-14 15:20,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
图书情报分析（时尚-媒体-传媒）,1999-2000元/天,3个月,北京时尚传媒旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。本职位长期招聘，负责运营时尚传媒旗舰电商平台和等新媒体工作。,本科,5,2024-05-13 13:05,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
小说编辑实习生,160-200元/天,长期,【岗位职责】,本科,1,2024-05-13 16:21,枫叶互动,101~300人,广东,互联网|游戏|软件
项目实习生（远程）,150-151元/天,3个月,【了解恒上】,本科,1,2024-05-16 18:13,恒上咨询,11~50人,北京,咨询/法律/人力资源
国际关系，外交学,1999-2000元/天,3个月,北京时尚传媒旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。本职位长期招聘，负责运营时尚传媒旗舰电商平台和等新媒体工作。,本科,5,2024-05-13 13:05,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
自然语言处理（时尚-媒体-传媒）,1999-2000元/天,3个月,北京时尚传媒旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。本职位长期招聘，负责运营时尚传媒旗舰电商平台和等新媒体工作。,本科,5,2024-05-13 13:05,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
线上公众号编辑,面议,2个月,工作职责：备注：无薪资，再次强调，只提供实习证明；,本科,3,2024-05-17 09:45,蓝船科技,11~50人,上海,互联网|游戏|软件
新媒体运营实习生,面议,3个月,1、负责公司微信公众号、抖音号、小红书、知乎等新媒体平台日常运营管理；,本科,3,2024-05-16 17:07,永乐时代,10人以内,北京,互联网|游戏|软件
短视频演员（女性）,300-400元/天,1个月,工作性质：兼职/项目合作,不限,1,2024-04-27 12:55,高鼎健康,51~100人,广东,互联网|游戏|软件
华南合作发展部/捐赠人服务实习生,100-120元/天,3个月,招聘岗位：捐赠人服务实习生,本科,1,2024-05-08 11:54,壹基金,101~300人,广东,政府/非盈利机构/其他
华东合作发展部/渠道运营实习生,100-120元/天,3个月,职位名称：华东合作发展部/渠道运营实习生,本科,1,2024-05-08 11:54,壹基金,101~300人,广东,政府/非盈利机构/其他
运维实习生,130-140元/天,3个月,岗位简介:,大专,1,2024-05-08 11:35,DKU,301~1000人,江苏,政府/非盈利机构/其他
AI研讨会志愿者招募,100-120元/天,1个月,1. 执行区域线上线下市场活动，有效完成公司市场任务,大专,4,2024-05-08 11:35,蜗牛工场,10人以内,广东,IT|通信|电子
行政财务助理,100-170元/天,长期,接听电话，按要求转接电话或记录信息；,本科,1,2024-04-26 11:19,沃众贸易（上海）有限公司,51~100人,上海,交通|物流|贸易
猎头助理,150-200元/天,6个月,1.协助顾问调查并研究相关行业、市场和客户信息，进行项目需求分析；,本科,5,2024-05-06 17:24,德才咨询,11~50人,浙江,咨询/法律/人力资源
机房实习生,2-3K/月,6个月,1、熟悉数据中心基础设施日常管理，对数据中心环境和设备进行巡检，并填写相应的巡检表。,大专,2,2024-05-08 10:32,CNGB,3001人及以上,广东,政府/非盈利机构/其他
行政管理实习生,面议,3个月,"本职位长期招聘，负责运营微信公众号“时尚集团生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。",本科,5,2024-05-09 23:36,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
暑期实习生,面议,2个月,携程集团（Trip.com Group）是全球领先的一站式旅行平台，公司旗下的平台，包括携程旅行、Trip.com、去哪儿、天巡等，可面向全球用户提供一套完整的旅行产品、服务及差异化的旅行内容。携程于2003年在美国纳斯达克交易所上市，并于2021年在香港联合交易所上市。未来几年，携程致力于成为具有全球影响力和受人尊敬的在线旅游企业。,本科,20,2024-04-17 15:57,携程旅行网,3001人及以上,上海,IT|通信|电子
阿维塔-新媒体运营实习生(代发布）,面议,6个月,1、协助运营官方蓝V账号内容策划及运营工作（抖音、小红书大众点评、视频号等）。,本科,1,2024-04-16 15:42,合合信息,301~1000人,上海,互联网|游戏|软件
HR INTERN,面议,3个月,"Assist the management and team with carrying out tasks (logistic and administrative tasks, coordination and communication, etc.)",本科,10,2024-04-16 15:28,美尔森,3001人及以上,上海,能源|环保
财务实习生,3-5K/月,3个月,1. 建立健全会计科目，编制会计凭证，编制财务报表及相关报表；,大专,5,2024-05-06 06:58,智航软件,51~100人,广东,互联网|游戏|软件
前台实习生,3-5K/月,3个月,1.负责公司前台接待访客，并及时准确通知被访人员；,大专,2,2024-05-06 06:58,智航软件,51~100人,广东,互联网|游戏|软件
市场推广/新媒体运营实习生,120-150元/天,3个月,【相关业务板块】 ,本科,1,2024-05-09 15:38,领变者会展,11~50人,广东,广告|传媒|文化|体育
中等职业教育分社策划岗实习生,120-150元/天,3个月,1.协助处理相关文件、样书并配合寄送；,本科,2,2024-04-16 11:30,电子社,301~1000人,北京,广告|传媒|文化|体育
华信教育研究所产品经理实习生,120-150元/天,3个月,（1）负责制定和执行图书产品策略，以实现公司的业务目标。,本科,2,2024-04-16 11:30,电子社,301~1000人,北京,广告|传媒|文化|体育
华信教育研究所软件测试实习生,120-150元/天,3个月,（1）根据产品规范和需求，进行详细的测试计划和测试用例设计；,本科,2,2024-04-16 11:30,电子社,301~1000人,北京,广告|传媒|文化|体育
业务助理（实习岗）,150-200元/天,3个月,-负责业务配置相关内容，参与反馈运营后台的优化建议；,本科,1,2024-05-08 16:22,堆糖,51~100人,上海,互联网|游戏|软件
大模型产品运营实习生,180-230元/天,3个月,工作职责：,本科,2,2024-04-24 13:51,AI大数据,3001人及以上,上海,互联网|游戏|软件
达人财资助理,130-180元/天,3个月,1.按照商务结算标准流程和制度，完成达人月度结算,本科,1,2024-05-07 10:22,智苑文化,101~300人,浙江,互联网|游戏|软件
美的-ALSO活动策划实习生,100-150元/天,3个月,ALSO是一个艺术&文化&商业综合体，我们期待你是审美良好、网感丰富、有品位有调性的人，欢迎加入我们一起共创内容。,本科,1,2024-04-15 15:46,美的集团,3001人及以上,广东,多元化集团
后期剪辑,180-200元/天,3个月,1. 根据要求完成视频制作及创意性视频方案策划,大专,2,2024-05-08 14:54,善实文化,10人以内,北京,广告|传媒|文化|体育
行政助理实习生,100-150元/天,6个月,岗位职责:,大专,1,2024-04-15 09:48,理邦仪器,1001~3000人,广东,生物|医药
美的-美福平台视觉设计师实习生,100-150元/天,3个月,【岗位职责】,本科,1,2024-04-15 09:40,美的集团,3001人及以上,广东,多元化集团
顾问助理实习生,100-120元/天,3个月,1、协助顾问搜集、整理客户申请的院校及项目课程信息；,本科,2,2024-05-08 10:45,君明留学,11~50人,广东,教育培训
留学文案/翻译实习生,100-150元/天,3个月,1、协助留学顾问，完善客户的选校规划，进行信息补充；,本科,1,2024-05-08 10:45,君明留学,11~50人,广东,教育培训
展会志愿者招募,120-165元/天,1个月,1、做好展会的配合工作,本科,4,2024-05-06 16:59,蜗牛工场,10人以内,广东,IT|通信|电子
视觉设计实习生,120-150元/天,3个月,1.  参与北辰青年品牌IP项目前期创想周边的设计工作，包括但不限于活动物料、线下装置、文创； ,本科,1,2024-04-24 15:52,北辰青年,101~300人,广东,教育培训
创意教研助理,120-150元/天,3个月,1. 参与到北辰青年的体验设计、自我探索研究、组织创新等领域的项目中；,本科,1,2024-04-24 15:50,北辰青年,101~300人,广东,教育培训
社群运营实习生,120-150元/天,3个月,1、协助管理和维护公司行动社区平台与内容，提升用户活跃度和粘性；,本科,1,2024-04-24 15:50,北辰青年,101~300人,广东,教育培训
用户群管理岗,1-2K/月,3个月,1.对用户群进行管理；,本科,30,2024-05-06 14:31,幸福俱乐部,11~50人,北京,政府/非盈利机构/其他
校园特使,80-100元/天,长期,1、配合平台需要在校内、18-25岁同龄人中，进行宣传和推广；结合校园生活，创造性的开展宣传，表白墙、公众号、海报栏、微信群、贴吧等，也可以结合学生会、社团活动进行推广；,本科,30,2024-05-06 10:09,幸福俱乐部,11~50人,北京,政府/非盈利机构/其他
招聘实习生,4-6K/月,长期,1、负责接听应聘电话，跟进求职简历，邀约求职者到场面试并跟进维护；,大专,1,2024-05-06 07:00,出众集团,101~300人,广东,生活服务
HR实习生,面议,2个月,1、招聘、培训、薪酬福利，每个板块都有你大放异彩的机会；,本科,10,2024-04-17 17:53,巨人网络,3001人及以上,上海,互联网|游戏|软件
AIGC美术实习生,面议,2个月,1.兼职美术组PM角色，统筹美术组所有项目进度，查漏补缺，协助推进；,本科,10,2024-04-17 17:52,巨人网络,3001人及以上,上海,互联网|游戏|软件
游戏UI设计实习生,面议,2个月,1、参与PC端、移动端的网络游戏产品的UI设计；,本科,10,2024-04-17 17:52,巨人网络,3001人及以上,上海,互联网|游戏|软件
3D特效实习生,面议,2个月,与策划，美术，程序配合完成征途赛道内项目VX动效设计与落地。,本科,10,2024-04-17 17:51,巨人网络,3001人及以上,上海,互联网|游戏|软件
3D特效实习生,面议,2个月,熟练操作u3d或ue制作3d特效，二次元者优先,本科,10,2024-04-17 17:50,巨人网络,3001人及以上,上海,互联网|游戏|软件
游戏场景原画实习生,面议,2个月,1.根据游戏世界观进行场景设计，包括氛围图，部件拆分，,本科,10,2024-04-17 17:50,巨人网络,3001人及以上,上海,互联网|游戏|软件
AIGC算法实习生,面议,2个月,1.面向内容生成领域，将学术探索与技术应用紧密结合，驱动算法在游戏领域的落地（不限于AI绘画，智能NPC，语音生成，反外挂/风控等）；,硕士,10,2024-04-17 17:49,巨人网络,3001人及以上,上海,互联网|游戏|软件
大模型算法实习生,面议,2个月,1.参与大模型在游戏业务场景下的算法研发、落地，包括智能NPC、AI Agents智能体生态等构建；,硕士,10,2024-04-17 17:49,巨人网络,3001人及以上,上海,互联网|游戏|软件
语音算法实习生,面议,2个月,1.负责语音合成、语音识别、语音转换等相关算法的研究和开发工作，包括但不限于数据处理、模型训练、效果调优，驱动语音算法在游戏领域的落地；,硕士,10,2024-04-17 17:48,巨人网络,3001人及以上,上海,互联网|游戏|软件
游戏服务器开发实习生,面议,2个月,1、负责游戏服务器端开发工作；,本科,10,2024-04-17 17:47,巨人网络,3001人及以上,上海,互联网|游戏|软件
游戏客户端开发实习生,面议,2个月,1、负责游戏客户端开发工作；,本科,10,2024-04-17 17:47,巨人网络,3001人及以上,上海,互联网|游戏|软件
营销策划实习生,面议,2个月,1.协助项目全程策划，包括项目整体策划构思及执行创意，并做好现有项目的维护工作；,本科,10,2024-04-17 17:46,巨人网络,3001人及以上,上海,互联网|游戏|软件
游戏运营实习生,面议,2个月,1、协助主管进行各类线上线下运营工作的开展；,本科,10,2024-04-17 17:45,巨人网络,3001人及以上,上海,互联网|游戏|软件
AI产品实习生,面议,2个月,1、协助推进AIGC技术在游戏中落地；,本科,10,2024-04-17 17:44,巨人网络,3001人及以上,上海,互联网|游戏|软件
游戏策划实习生,面议,2个月,1、 施展上帝之手，设计一款移动游戏的核心机制；,本科,10,2024-04-17 17:44,巨人网络,3001人及以上,上海,互联网|游戏|软件
暑期实习生,面议,2个月,软件开发工程师、软件测试工程师、算法工程师、品牌经理助理,本科,20,2024-04-17 16:23,橘宜集团,3001人及以上,上海,快速消费品
财务实习生,10-20元/天,3个月,1.财务部日常事务。负责公司各类通知、合同等文件企微流程、费用审批流程的签呈；,不限,2,2024-04-29 15:16,芒果音乐,11~50人,上海,广告|传媒|文化|体育
艺人接待,10-20元/天,3个月,1.负责活动期间演出人员的行程规划统筹，协助管理好演出人员的行程安排；,不限,2,2024-04-29 13:48,芒果音乐,11~50人,上海,广告|传媒|文化|体育
行政人事经理助理,140-250元/天,长期,职责：,本科,1,2024-04-23 11:51,元能星泰,11~50人,广东,互联网|游戏|软件
小红书运营（远程办公）,1-2K/月,3个月,1.负责相应资讯采集、整理、审核及笔记发布，每月大概10篇笔记。,大专,1,2024-05-03 18:36,对岸公司,10人以内,湖南,互联网|游戏|软件
前期咨询工程师,150-200元/天,3个月,1. 对全过程工程咨询行业和工程项目管理有一定的了解；,本科,1,2024-04-23 11:10,同济咨询,301~1000人,上海,咨询/法律/人力资源
视频剪辑兼职,150-160元/天,1个月,兼职时间：2024年5月21-26日（或22-25日），8:30-17:30,大专,2,2024-05-11 16:10,广东科展,51~100人,广东,广告|传媒|文化|体育
线上编程教学实习老师,2-4K/月,长期,岗位职责:,本科,50,2024-05-13 05:07,梦想编程,51~100人,广东,教育培训
视频拍摄兼职（须自带苹果手机）,150-160元/天,1个月,兼职时间：2024年5月22-25日，8:30-17:30,大专,2,2024-05-15 17:06,广东科展,51~100人,广东,广告|传媒|文化|体育
新媒体运营实习生,150-170元/天,4个月,1、公众号内容运营，涉及文章编辑推送、推广分发、开白管理；,本科,1,2024-05-16 18:50,智一科技,11~50人,北京,互联网|游戏|软件
【必须在上海线下实习】总经理助理-市场营销项目管理/私人助理方向,119-120元/天,3个月,1. 合理安排总经理的日常工作行程和提醒及商务随行；,大专,1,2024-05-06 13:58,芸谋餐饮营销,10人以内,上海,广告|传媒|文化|体育
